models/svc/C,models/svc/gamma,Accuracy,SD on test folds
0.001,0.0005,0.3333333333333333,0.0
0.001,0.001,0.3333333333333333,0.0
0.001,0.0012,0.3333333333333333,0.0
0.01,0.0005,0.5578650770675704,0.023836965271546204
0.01,0.001,0.6017211642128784,0.018471012549911982
0.01,0.0012,0.596514817388865,0.02075431692657209
0.1,0.0005,0.6648696591986948,0.017146691192720335
0.1,0.001,0.6607195349933837,0.016248455776136067
0.1,0.0012,0.6571493613629752,0.01316881275484319
1.0,0.0005,0.7036164178026606,0.01754503828189456
1.0,0.001,0.692157749755488,0.013677876184329855
1.0,0.0012,0.6905921036583914,0.016925298181752355
10.0,0.0005,0.6480783826345535,0.013706596569741651
10.0,0.001,0.6249789601536062,0.008782842860007679
10.0,0.0012,0.61815577803894,0.014783835226975706
100.0,0.0005,0.6264370670382629,0.011027177878951331
100.0,0.001,0.6142622881146067,0.013718529686441498
100.0,0.0012,0.6117426526812236,0.014594536720510535
1000.0,0.0005,0.6285517037343873,0.006978144062378942
1000.0,0.001,0.6147999225232088,0.012751337165456823
1000.0,0.0012,0.6117426526812236,0.014594536720510535
