models/lightgbm/boosting_type,models/lightgbm/learning_rate,models/lightgbm/n_estimators,models/lightgbm/num_leaves,preproc/rmf/pca/model/kernel,preproc/rmf/pca/model/n_components,Accuracy,SD on test folds
dart,0.01,100,31,linear,3,0.3364795474699248,0.003080846444424955
dart,0.01,100,31,linear,10,0.3355277051826583,0.0026115420207759887
dart,0.01,100,31,linear,25,0.3366175381923413,0.004027939208161554
dart,0.01,100,31,sigmoid,3,0.3552301950043043,0.017626022091070438
dart,0.01,100,31,sigmoid,10,0.3537311756734034,0.010153593363576265
dart,0.01,100,31,sigmoid,25,0.3518736244540212,0.012071973987076828
dart,0.01,100,63,linear,3,0.34062525696206497,0.006736607161789167
dart,0.01,100,63,linear,10,0.3374649862121748,0.004406265418808349
dart,0.01,100,63,linear,25,0.3359560365679786,0.0034723121615100627
dart,0.01,100,63,sigmoid,3,0.3551353762168671,0.018333390436754075
dart,0.01,100,63,sigmoid,10,0.3548517706671225,0.012123739290413917
dart,0.01,100,63,sigmoid,25,0.35584843416436357,0.012627825372263887
dart,0.01,100,127,linear,3,0.33939198608653653,0.004830583998184701
dart,0.01,100,127,linear,10,0.3380394582825052,0.003308208453792893
dart,0.01,100,127,linear,25,0.3359560365679786,0.0034723121615100627
dart,0.01,100,127,sigmoid,3,0.3563446048833973,0.019614780410216047
dart,0.01,100,127,sigmoid,10,0.3554607122988117,0.014038958784525457
dart,0.01,100,127,sigmoid,25,0.3541269711400312,0.011561916691617316
dart,0.01,500,31,linear,3,0.42438748774751645,0.05577804192181664
dart,0.01,500,31,linear,10,0.4447326956335627,0.05123728226994203
dart,0.01,500,31,linear,25,0.4067316079132167,0.04217552854950642
dart,0.01,500,31,sigmoid,3,0.47170089690180284,0.01267741799871338
dart,0.01,500,31,sigmoid,10,0.47220657144031586,0.017240578873525602
dart,0.01,500,31,sigmoid,25,0.4873253233407858,0.03293168557349851
dart,0.01,500,63,linear,3,0.4282742179692602,0.05127248839496319
dart,0.01,500,63,linear,10,0.444244257641909,0.05371154025838758
dart,0.01,500,63,linear,25,0.40579319516717655,0.044732416065493365
dart,0.01,500,63,sigmoid,3,0.47236491857922847,0.015509786126806185
dart,0.01,500,63,sigmoid,10,0.47441795113994656,0.01484621671845983
dart,0.01,500,63,sigmoid,25,0.4800949000875379,0.03192256014979913
dart,0.01,500,127,linear,3,0.4235404089226691,0.05455586056059119
dart,0.01,500,127,linear,10,0.44775630552050416,0.052183632230394135
dart,0.01,500,127,linear,25,0.4025873547913178,0.044005424864157365
dart,0.01,500,127,sigmoid,3,0.4742846964978014,0.02122716215846973
dart,0.01,500,127,sigmoid,10,0.470474904226381,0.015229100220995797
dart,0.01,500,127,sigmoid,25,0.48539574250380585,0.039718071440815565
dart,0.01,1000,31,linear,3,0.43347624365945575,0.056597380597922554
dart,0.01,1000,31,linear,10,0.4473177804194906,0.0533535489570927
dart,0.01,1000,31,linear,25,0.39950793099322446,0.042412966861389255
dart,0.01,1000,31,sigmoid,3,0.47582044051294387,0.013688886359622525
dart,0.01,1000,31,sigmoid,10,0.477075722106716,0.014967618059657769
dart,0.01,1000,31,sigmoid,25,0.48757859334514836,0.03455550063190365
dart,0.01,1000,63,linear,3,0.433978564708167,0.05865446575264273
dart,0.01,1000,63,linear,10,0.4466281923658794,0.04684093800387185
dart,0.01,1000,63,linear,25,0.40206104447757535,0.0399955651200799
dart,0.01,1000,63,sigmoid,3,0.47374059142074143,0.014743452040803155
dart,0.01,1000,63,sigmoid,10,0.4767308770042744,0.015801821321858426
dart,0.01,1000,63,sigmoid,25,0.4865000903526475,0.028158888574939842
dart,0.01,1000,127,linear,3,0.4326588904255998,0.05980546100018111
dart,0.01,1000,127,linear,10,0.4510370073638904,0.055049618363546035
dart,0.01,1000,127,linear,25,0.4053479164822617,0.043513939232010516
dart,0.01,1000,127,sigmoid,3,0.4808616022970099,0.020693752747135367
dart,0.01,1000,127,sigmoid,10,0.46743700400206006,0.015219776739389701
dart,0.01,1000,127,sigmoid,25,0.4799457995459764,0.03501149298530982
dart,0.05,100,31,linear,3,0.4304731034691288,0.05836322183456703
dart,0.05,100,31,linear,10,0.4416433005386512,0.05498626212134827
dart,0.05,100,31,linear,25,0.40050260332067955,0.04719860650940105
dart,0.05,100,31,sigmoid,3,0.4783086634041983,0.014037500392547971
dart,0.05,100,31,sigmoid,10,0.4657532810515274,0.013719136334659085
dart,0.05,100,31,sigmoid,25,0.47887355275069987,0.034655683818890684
dart,0.05,100,63,linear,3,0.43812638162392015,0.05551663515382641
dart,0.05,100,63,linear,10,0.43448232565276684,0.05454932378307279
dart,0.05,100,63,linear,25,0.3987232208940875,0.04712039609051738
dart,0.05,100,63,sigmoid,3,0.47480140129065224,0.013773422388021645
dart,0.05,100,63,sigmoid,10,0.46419799837039977,0.02360526750716812
dart,0.05,100,63,sigmoid,25,0.4762710496917574,0.03259701463921422
dart,0.05,100,127,linear,3,0.42936305544026404,0.05948435690457532
dart,0.05,100,127,linear,10,0.4342709783925411,0.05449357335215488
dart,0.05,100,127,linear,25,0.3971323661302605,0.04568592285788536
dart,0.05,100,127,sigmoid,3,0.4749457352132046,0.015640639834318914
dart,0.05,100,127,sigmoid,10,0.4623971796464484,0.023350215495382704
dart,0.05,100,127,sigmoid,25,0.4788814931539781,0.023346383453206037
dart,0.05,500,31,linear,3,0.4366973229811844,0.05902387041490137
dart,0.05,500,31,linear,10,0.4451292108572874,0.04758027267972762
dart,0.05,500,31,linear,25,0.41038282410587446,0.04251473575381867
